Formatted_Date,Temp_Out,Hum_Out,Solar_Rad,Temp_In,Hum_In,Dew_In
2020-09-22 00:05:00,19.2,87.0,0.0,19.9,85.0,17.3
2020-09-22 00:10:00,19.3,87.0,0.0,19.9,85.0,17.3
2020-09-22 00:15:00,19.3,87.0,0.0,19.8,85.0,17.2
2020-09-22 00:20:00,19.3,87.0,0.0,19.8,86.0,17.4
2020-09-22 00:25:00,19.2,87.0,0.0,19.7,86.0,17.3
2020-09-22 00:30:00,19.2,88.0,0.0,19.7,86.0,17.3
2020-09-22 00:35:00,19.2,88.0,0.0,19.7,86.0,17.3
2020-09-22 00:40:00,19.2,88.0,0.0,19.7,86.0,17.3
2020-09-22 00:45:00,19.2,88.0,0.0,19.7,86.0,17.3
2020-09-22 00:50:00,19.3,88.0,0.0,19.8,86.0,17.4
2020-09-22 00:55:00,19.3,88.0,0.0,19.8,86.0,17.4
2020-09-22 01:00:00,19.3,87.0,0.0,19.8,86.0,17.4
2020-09-22 01:05:00,19.4,87.0,0.0,19.9,85.0,17.3
2020-09-22 01:10:00,19.4,87.0,0.0,19.9,85.0,17.3
2020-09-22 01:15:00,19.6,87.0,0.0,20.0,85.0,17.4
2020-09-22 01:20:00,19.6,87.0,0.0,20.0,85.0,17.4
2020-09-22 01:25:00,19.6,87.0,0.0,20.1,85.0,17.5
2020-09-22 01:30:00,19.7,87.0,0.0,20.1,85.0,17.5
2020-09-22 01:35:00,19.7,86.0,0.0,20.2,85.0,17.6
2020-09-22 01:40:00,19.7,86.0,0.0,20.2,85.0,17.6
2020-09-22 01:45:00,19.7,86.0,0.0,20.3,85.0,17.7
2020-09-22 01:50:00,19.8,86.0,0.0,20.3,85.0,17.7
2020-09-22 01:55:00,19.8,86.0,0.0,20.3,85.0,17.7
2020-09-22 02:00:00,19.8,86.0,0.0,20.3,85.0,17.7
2020-09-22 02:05:00,19.8,86.0,0.0,20.3,85.0,17.7
