Formatted_Date,Temp_Out,Hum_Out,Solar_Rad,Temp_In,Hum_In,Dew_In
2020-07-12 19:50:00,28.4,58,0,29.6,50,18.1
2020-07-12 19:55:00,28.4,59,0,29.6,50,18.1
2020-07-12 20:00:00,28.3,59,0,29.6,50,18.1
2020-07-12 20:05:00,28.3,56,0,29.5,49,17.7
2020-07-12 20:10:00,28.2,55,0,29.5,49,17.7
2020-07-12 20:15:00,28.2,55,0,29.4,49,17.6
2020-07-12 20:20:00,28.2,55,0,29.3,49,17.5
2020-07-12 20:25:00,28.2,55,0,29.2,49,17.4
2020-07-12 20:30:00,28.2,55,0,28.9,48,16.8
2020-07-12 20:35:00,28.1,54,0,28.8,47,16.4
2020-07-12 20:40:00,28.1,53,0,28.7,47,16.3
2020-07-12 20:45:00,28.1,52,0,28.6,47,16.2
2020-07-12 20:50:00,28.1,52,0,28.5,47,16.1
2020-07-12 20:55:00,28.1,53,0,28.3,48,16.2
2020-07-12 21:00:00,28.1,52,0,28.2,48,16.1
2020-07-12 21:05:00,28.1,51,0,28.1,48,16.0
2020-07-12 21:10:00,28.0,52,0,27.9,49,16.2
2020-07-12 21:15:00,28.0,52,0,27.8,49,16.1
2020-07-12 21:20:00,28.0,51,0,27.8,49,16.1
2020-07-12 21:25:00,27.9,51,0,27.6,49,15.9
2020-07-12 21:30:00,27.9,52,0,27.4,50,16.1
2020-07-12 21:35:00,27.9,52,0,27.3,51,16.3
2020-07-12 21:40:00,27.9,53,0,27.2,52,16.5
2020-07-12 21:45:00,27.9,53,0,27.1,52,16.4
2020-07-12 21:50:00,27.9,53,0,27.1,52,16.4
2020-07-12 21:55:00,27.8,54,0,27.0,52,16.3
2020-07-12 22:00:00,27.8,54,0,27.0,52,16.3
2020-07-12 22:05:00,27.7,54,0,26.9,53,16.6
2020-07-12 22:10:00,27.7,54,0,26.8,53,16.4
2020-07-12 22:15:00,27.7,55,0,26.7,54,16.6
2020-07-12 22:20:00,27.7,55,0,26.6,54,16.5
2020-07-12 22:25:00,27.7,55,0,26.6,54,16.5
2020-07-12 22:30:00,27.7,55,0,26.5,54,16.4
2020-07-12 22:35:00,27.7,55,0,26.5,54,16.4
2020-07-12 22:40:00,27.7,56,0,26.5,55,16.7
2020-07-12 22:45:00,27.6,56,0,26.5,55,16.7
2020-07-12 22:50:00,27.6,56,0,26.5,55,16.7
2020-07-12 22:55:00,27.6,55,0,26.4,55,16.6
2020-07-12 23:00:00,27.6,56,0,26.4,55,16.6
2020-07-12 23:05:00,27.6,56,0,26.5,55,16.7
2020-07-12 23:10:00,27.5,56,0,26.5,55,16.7
2020-07-12 23:15:00,27.5,56,0,26.5,55,16.7
2020-07-12 23:20:00,27.4,55,0,26.5,55,16.7
2020-07-12 23:25:00,27.4,55,0,26.5,55,16.7
2020-07-12 23:30:00,27.4,55,0,26.5,55,16.7
2020-07-12 23:35:00,27.4,55,0,26.4,55,16.6
2020-07-12 23:40:00,27.4,55,0,26.4,55,16.6
2020-07-12 23:45:00,27.4,55,0,26.4,55,16.6
2020-07-12 23:50:00,27.4,55,0,26.4,55,16.6
2020-07-12 23:55:00,27.3,56,0,26.3,55,16.5
2020-07-13 00:00:00,27.3,56,0,26.3,55,16.5
2020-07-13 00:05:00,27.3,56,0,26.3,55,16.5
2020-07-13 00:10:00,27.3,56,0,26.4,55,16.6
2020-07-13 00:15:00,27.3,56,0,26.4,55,16.6
2020-07-13 00:20:00,27.3,56,0,26.4,55,16.6
2020-07-13 00:25:00,27.3,56,0,26.4,55,16.6
2020-07-13 00:30:00,27.2,56,0,26.5,55,16.7
2020-07-13 00:35:00,27.2,56,0,26.6,55,16.8
2020-07-13 00:40:00,27.1,56,0,26.6,55,16.8
2020-07-13 00:45:00,26.9,56,0,26.7,55,16.9
2020-07-13 00:50:00,26.8,57,0,26.7,55,16.9
2020-07-13 00:55:00,26.7,57,0,26.8,55,17.0
2020-07-13 01:00:00,26.6,58,0,26.8,55,17.0
2020-07-13 01:05:00,26.4,58,0,26.9,55,17.1
2020-07-13 01:10:00,26.4,59,0,26.9,55,17.1
2020-07-13 01:15:00,26.3,59,0,26.9,55,17.1
2020-07-13 01:20:00,26.2,60,0,26.9,55,17.1
2020-07-13 01:25:00,26.2,60,0,26.9,55,17.1
2020-07-13 01:30:00,26.1,60,0,26.9,55,17.1
2020-07-13 01:35:00,26.0,60,0,26.9,55,17.1
2020-07-13 01:40:00,26.0,61,0,26.9,55,17.1
2020-07-13 01:45:00,25.9,61,0,26.9,55,17.1
2020-07-13 01:50:00,25.9,61,0,26.9,55,17.1
2020-07-13 01:55:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:00:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:05:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:10:00,25.9,59,0,27.0,55,17.2
2020-07-13 02:15:00,25.9,59,0,27.0,55,17.2
2020-07-13 02:20:00,25.9,60,0,27.0,55,17.2
2020-07-13 02:25:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:30:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:35:00,25.9,60,0,26.9,55,17.1
2020-07-13 02:40:00,25.8,60,0,26.9,55,17.1
2020-07-13 02:45:00,25.8,60,0,26.9,55,17.1
2020-07-13 02:50:00,25.8,60,0,26.9,55,17.1
2020-07-13 02:55:00,25.8,60,0,26.9,55,17.1
2020-07-13 03:00:00,25.8,61,0,26.9,55,17.1
2020-07-13 03:05:00,25.8,61,0,26.9,55,17.1
2020-07-13 03:10:00,25.8,61,0,26.9,55,17.1
