Formatted_Date,Temp_Out,Hum_Out,Solar_Rad,Temp_In,Hum_In,Dew_In
2021-01-04 00:00:00,11.1,34.0,0.0,6.9,45.0,-4.2
2021-01-04 00:05:00,11.4,34.0,0.0,7.1,45.0,-4.1
2021-01-04 00:10:00,11.6,33.0,0.0,7.1,45.0,-4.0
2021-01-04 00:15:00,11.7,33.0,0.0,7.2,45.0,-3.9
2021-01-04 00:20:00,11.7,33.0,0.0,7.4,45.0,-3.8
2021-01-04 00:25:00,11.7,33.0,0.0,7.4,45.0,-3.7
2021-01-04 00:30:00,11.7,33.0,0.0,7.5,45.0,-3.7
2021-01-04 00:35:00,11.6,33.0,0.0,7.6,44.0,-3.9
2021-01-04 00:40:00,11.4,33.0,0.0,7.7,43.0,-4.1
2021-01-04 00:45:00,11.4,32.0,0.0,7.7,44.0,-3.8
2021-01-04 00:50:00,11.3,33.0,0.0,7.8,43.0,-4.0
2021-01-04 00:55:00,11.1,33.0,0.0,7.8,44.0,-3.7
2021-01-04 01:00:00,10.8,34.0,0.0,7.8,43.0,-4.0
2021-01-04 01:05:00,10.5,35.0,0.0,7.8,42.0,-4.3
2021-01-04 01:10:00,10.2,35.0,0.0,7.8,42.0,-4.4
2021-01-04 01:15:00,10.1,35.0,0.0,7.8,42.0,-4.4
2021-01-04 01:20:00,10.0,35.0,0.0,7.7,42.0,-4.5
2021-01-04 01:25:00,9.8,36.0,0.0,7.6,41.0,-4.8
2021-01-04 01:30:00,9.4,37.0,0.0,7.4,41.0,-5.0
2021-01-04 01:35:00,8.8,41.0,0.0,7.2,41.0,-5.2
2021-01-04 01:40:00,8.2,40.0,0.0,6.9,43.0,-4.8
2021-01-04 01:45:00,7.8,41.0,0.0,6.7,44.0,-4.7
2021-01-04 01:50:00,7.5,43.0,0.0,6.5,45.0,-4.6
2021-01-04 01:55:00,7.2,43.0,0.0,6.2,46.0,-4.6
2021-01-04 02:00:00,7.1,44.0,0.0,6.1,46.0,-4.7
2021-01-04 02:05:00,6.9,44.0,0.0,5.8,46.0,-4.9
2021-01-04 02:10:00,6.7,45.0,0.0,5.7,46.0,-5.1
2021-01-04 02:15:00,6.3,47.0,0.0,5.4,47.0,-5.0
2021-01-04 02:20:00,6.3,45.0,0.0,5.3,48.0,-4.9
2021-01-04 02:25:00,6.3,47.0,0.0,5.1,49.0,-4.7
2021-01-04 02:30:00,6.1,47.0,0.0,4.9,48.0,-5.2
2021-01-04 02:35:00,5.9,47.0,0.0,4.7,48.0,-5.4
2021-01-04 02:40:00,5.7,48.0,0.0,4.6,49.0,-5.3
2021-01-04 02:45:00,5.6,48.0,0.0,4.4,50.0,-5.1
2021-01-04 02:50:00,5.6,48.0,0.0,4.3,50.0,-5.2
2021-01-04 02:55:00,5.6,47.0,0.0,4.2,50.0,-5.3
2021-01-04 03:00:00,5.6,47.0,0.0,4.2,51.0,-5.1
2021-01-04 03:05:00,5.5,47.0,0.0,4.1,51.0,-5.1
2021-01-04 03:10:00,5.4,48.0,0.0,4.0,51.0,-5.2
2021-01-04 03:15:00,5.2,48.0,0.0,3.8,50.0,-5.7
2021-01-04 03:20:00,5.1,48.0,0.0,3.7,51.0,-5.5
2021-01-04 03:25:00,4.9,48.0,0.0,3.6,52.0,-5.3
2021-01-04 03:30:00,4.9,48.0,0.0,3.6,51.0,-5.7
2021-01-04 03:35:00,4.8,48.0,0.0,3.4,51.0,-5.8
2021-01-04 03:40:00,4.6,49.0,0.0,3.2,50.0,-6.2
2021-01-04 03:45:00,4.3,49.0,0.0,3.1,51.0,-6.1
2021-01-04 03:50:00,4.3,50.0,0.0,3.0,52.0,-5.9
2021-01-04 03:55:00,4.3,50.0,0.0,2.9,52.0,-6.0
